name,parent_id
Transplant Nursing,161
Trauma Nursing,161
Travel Nursing,161
Triage Nursing,161
Urologic Nursing,161
Obstetrics and Gynecology,
Female Pelvic Medicine and Reconstructive Surgery,266
Gynecologic Oncology,266
Maternal-Fetal Medicine,266
Reproductive Endocrinologists and Infertility,266
Ophthalmology,
Anterior Segment/Cornea Ophthalmology,271
Glaucoma Ophthalmology,271
Neuro-Ophthalmology,271
Ocular Oncology,271
Oculoplastics/Orbit,271
Ophthalmic Plastic and Reconstructive Surgery,271
Retina/Uveitis,271
Strabismus/Pediatric Ophthalmology,271
Otolaryngology,
Facial Plastic and Reconstructive Surgery,280
Head and Neck Oncology,280
Laryngology,280
Otology/Neurotology and Skull Base Surgery,280
Pediatric Otolaryngology,280
"Rhinology, Sinus and Anterior Endoscopic Skull Base Surgery",280
Sleep Medicine and Surgery,280
Pathology,
Anatomical Pathology,288
Blood Banking and Transfusion Medicine,288
Chemical Pathology,288
Endocrinology,291
Routine Chemistry,291
Toxicology,291
Urinalysis,291
Clinical Pathology,288
Cytopathology,296
Histopathology,296
Oral Pathology,296
Forensic Pathology,288
Genetic Pathology,288
Cytogenetics,301
Hematology,288
Immunopathology,288
Medical Microbiology,288
Bacteriology ,305
Mycobacteriology,305
Mycology,305
Parasitology,305
Virology,305
Molecular Pathology,288
Neuropathology,288
Pediatric Pathology,288
Serology,288
General Immunology,314
Syphilis Serology,314
Pediatrics,
Adolescent Medicine,317
Child Abuse Pediatrics,317
Developmental-Behavioral Pediatrics,317
Neonatal-Perinatal Medicine,317
Pediatric Cardiology,317
Pediatric Critical Care Medicine,317
Pediatric Endocrinology,317
Pediatric Gastroenterology,317
Pediatric Hematology-Oncology,317
Pediatric Infectious Diseases,317
Pediatric Nephrology,317
Pediatric Pulmonology,317
Pediatric Rheumatology,317
Pediatric Sports Medicine,317
Pediatric Transplant Hepatology,317
Pharmacy,
Ambulatory Care Pharmacy,333
Cardiology Pharmacy,333
Compounded Sterile Preparation Pharmacy,333
Critical Care Pharmacy,333
Emergency Medicine Pharmacy,333
Geriatric Pharmacy,333
Infectious Diseases Pharmacy,333
Nuclear Pharmacy,333
Nutrition Support Pharmacy,333
Oncology Pharmacy,333
Pediatric Pharmacy,333
Pharmacotherapy,333
Psychiatric Pharmacy,333
Solid Organ Transplantation Pharmacy,333
Physical Medicine and Rehabilitation,
Brain Injury Medicine,348
Hospice and Palliative Medicine,348
Neuromuscular Medicine,348
Pain Medicine,348
Pediatric Rehabilitation Medicine,348
Spinal Cord Injury Medicine,348
Sports Medicine,348
Preventive Medicine,
Aerospace Medicine,356
Medical Toxicology,356
Occupational Medicine,356
Public Health Medicine,356
Psychiatry,
Addiction Psychiatry,361
Administrative Psychiatry,361
Child and Adolescent Psychiatry,361
Community Psychiatry,361
Consultation/Liaison Psychiatry,361
Emergency Psychiatry,361
Forensic Psychiatry,361
Geriatric Psychiatry,361
Mental Retardation Psychiatry,361
Military Psychiatry,361
Pain Medicine,361
Psychiatric Research,361
Psychosomatic Medicine,361
"Quality Improvement, Risk Management and Safety",
Quality and Performance Improvement ,375
Quality Consultant ,375
Quality Surveyor,375
Risk Management,375
Safety Management,375
Radiology Oncology,
Hospice and Palliative Medicine,381
Pain Medicine,381
Respiratory Therapy,
Surgery,
Colon and Rectal Surgery,385
General Surgery,385
Surgical Critical Care,387
Gynecologic Oncology,385
Plastic Surgery,385
Craniofacial Surgery,390
Hand Surgery,390
Neurological Surgery,385
Endovascular Surgical Neuroradiology,393
Ophthalmic Surgery,385
Oral And Maxillofacial Surgery,385
Orthopedic Surgery,385
Adult Reconstructive Orthopedics,397
Foot And Ankle Orthopedics,397
Musculoskeletal Oncology,397
Orthopedic Sports Medicine,397
Orthopedic Surgery Of The Spine,397
Orthopedic Trauma,397
Pediatric Orthopedics,397
Otolaryngology,385
Pediatric Otolaryngology,405
Otology Neurotology,385
Pediatric Surgery,
Neonatal,408
Prenatal,408
Trauma,408
Pediatric Oncology,408
"Surgical Intensivists, Specializing In Critical Care Patients",385
Thoracic Surgery,385
Congenital Cardiac Surgery,414
Thoracic Surgery-Integrated,414
Vascular Surgery,385
Traumatology,
Burn Care,418
Maxillofacial Surgery,418
Neurosurgery,418
Orthopedic Trauma Surgery,418
Trauma Rehabilitation,418
Trauma Surgery,418
Vascular Trauma Care,418
Urology,
Pediatric Urology,426
Urologic Oncology,426
Renal Transplant,426
Male Infertility,426
Calculi,426
Female Urology,426
Neurourology,426
